skill_name,geo_group,rate_bucket1,yoe_bucket,city_ip,channel_macro_ms,channel_ms,n_devs,n_icfs,n_icfs_30,n_icfs_60,n_icfs_90,n_icfs_365,n_p2_devs,su_to_icf_perc,su_to_p2_perc,maxCost_per_su,rate_bucket,su_to_icf_90_perc,city_channel
Python,ROW,11-20,4.0,Delhi,Job Boards,LinkedIn_Jobs,56,10,2,4,5,10,8,0.17857142857142858,0.14285714285714285,0.24875777769194202,10.0,0.08928571428571429,Delhi_and_LinkedIn_Jobs
Python,ROW,11-20,5.0,Hyderabad,Job Boards,LinkedIn_Jobs,53,11,4,6,6,10,4,0.20754716981132076,0.07547169811320754,0.24875777769194202,10.0,0.11320754716981132,Hyderabad_and_LinkedIn_Jobs
Python,ROW,11-20,8.0,Bengaluru,Ads,Ad_Google_discovery,53,2,0,0,0,1,3,0.03773584905660377,0.05660377358490566,6.378586387008603,10.0,0.0,Bengaluru_and_Ad_Google_discovery
Python,ROW,11-20,8.0,Nairobi,Job Boards,LinkedIn_Jobs,50,5,1,1,1,5,2,0.1,0.04,0.24875777769194202,10.0,0.02,Nairobi_and_LinkedIn_Jobs
Python,ROW,>100,3.0,Bengaluru,Job Boards,LinkedIn_Jobs,56,6,3,3,4,5,2,0.10714285714285714,0.03571428571428571,0.24875777769194202,100.0,0.07142857142857142,Bengaluru_and_LinkedIn_Jobs
Python,ROW,>100,4.0,Bengaluru,Job Boards,LinkedIn_Jobs,57,6,4,5,5,5,5,0.10526315789473684,0.08771929824561403,0.24875777769194202,100.0,0.08771929824561403,Bengaluru_and_LinkedIn_Jobs
React,LATAM,0-10,0.0,Barranquilla,Job Boards,LinkedIn_Jobs,99,7,5,6,6,7,4,0.0707070707070707,0.04040404040404041,3.827765840026301,0.0,0.06060606060606061,Barranquilla_and_LinkedIn_Jobs
React,LATAM,0-10,3.0,Salvador,Job Boards,LinkedIn_Jobs,74,8,1,1,5,7,3,0.10810810810810811,0.04054054054054054,3.8277658400263013,0.0,0.06756756756756757,Salvador_and_LinkedIn_Jobs
React,ROW,0-10,0.0,Bengaluru,Ads,Ad_Facebook,93,1,0,0,0,0,1,0.010752688172043012,0.010752688172043012,5.445485600554374,0.0,0.0,Bengaluru_and_Ad_Facebook
React,ROW,0-10,0.0,Chennai,Ads,Ad_Google_discovery,83,0,0,0,0,0,1,0.0,0.012048192771084338,6.378586387008602,0.0,0.0,Chennai_and_Ad_Google_discovery
React,ROW,0-10,0.0,Delhi,Ads,Ad_Facebook,65,0,0,0,0,0,1,0.0,0.015384615384615385,5.445485600554374,0.0,0.0,Delhi_and_Ad_Facebook
React,ROW,0-10,0.0,Delhi,Ads,Ad_LinkedIn,65,1,0,0,0,0,0,0.015384615384615385,0.0,1.6210507905914624,0.0,0.0,Delhi_and_Ad_LinkedIn
React,ROW,0-10,0.0,Delhi,Ads,Ad_Google_discovery,138,1,0,0,0,0,4,0.007246376811594203,0.028985507246376812,6.378586387008602,0.0,0.0,Delhi_and_Ad_Google_discovery
React,ROW,0-10,0.0,Hyderabad,Ads,Ad_Facebook,124,0,0,0,0,0,1,0.0,0.008064516129032258,5.445485600554374,0.0,0.0,Hyderabad_and_Ad_Facebook
React,ROW,0-10,0.0,Mumbai,Ads,Ad_LinkedIn,52,1,0,0,0,1,1,0.019230769230769232,0.019230769230769232,1.6210507905914624,0.0,0.0,Mumbai_and_Ad_LinkedIn
React,ROW,0-10,0.0,Pune,Ads,Ad_LinkedIn,67,0,0,0,0,0,4,0.0,0.05970149253731343,1.6210507905914624,0.0,0.0,Pune_and_Ad_LinkedIn
React,ROW,0-10,3.0,Bengaluru,Ads,Ad_Google_discovery,83,1,0,0,0,0,0,0.012048192771084338,0.0,6.378586387008602,0.0,0.0,Bengaluru_and_Ad_Google_discovery
React,ROW,0-10,3.0,Chennai,Ads,Ad_Facebook,68,0,0,0,0,0,0,0.0,0.0,5.445485600554374,0.0,0.0,Chennai_and_Ad_Facebook
React,ROW,0-10,3.0,Hyderabad,Ads,Ad_Facebook,100,1,0,0,0,0,2,0.01,0.02,5.445485600554373,0.0,0.0,Hyderabad_and_Ad_Facebook
React,ROW,0-10,3.0,Karachi,Ads,Ad_LinkedIn,73,0,0,0,0,0,1,0.0,0.0136986301369863,1.6210507905914624,0.0,0.0,Karachi_and_Ad_LinkedIn
React,ROW,0-10,3.0,Katsina,Ads,Ad_Facebook,121,0,0,0,0,0,0,0.0,0.0,5.445485600554373,0.0,0.0,Katsina_and_Ad_Facebook
React,ROW,0-10,3.0,Kolkata,Ads,Ad_Google_sem,51,0,0,0,0,0,2,0.0,0.0392156862745098,8.055787570391825,0.0,0.0,Kolkata_and_Ad_Google_sem
React,ROW,0-10,3.0,Lagos,Ads,Ad_Google_discovery,76,2,0,0,0,0,2,0.02631578947368421,0.02631578947368421,6.378586387008602,0.0,0.0,Lagos_and_Ad_Google_discovery
React,ROW,0-10,3.0,Lahore,Ads,Ad_Facebook,66,0,0,0,0,0,0,0.0,0.0,5.445485600554374,0.0,0.0,Lahore_and_Ad_Facebook
React,ROW,0-10,3.0,Lahore,Ads,Ad_Google_discovery,86,1,0,0,0,0,1,0.011627906976744186,0.011627906976744186,6.378586387008602,0.0,0.0,Lahore_and_Ad_Google_discovery
React,ROW,0-10,3.0,Mumbai,Ads,Ad_Facebook,57,1,0,0,0,0,0,0.017543859649122806,0.0,5.445485600554374,0.0,0.0,Mumbai_and_Ad_Facebook
React,ROW,0-10,3.0,Mumbai,Ads,Ad_Google_discovery,54,1,0,0,0,0,2,0.018518518518518517,0.037037037037037035,6.378586387008602,0.0,0.0,Mumbai_and_Ad_Google_discovery
React,ROW,0-10,3.0,Nairobi,Ads,Ad_Facebook,68,1,0,0,0,0,1,0.014705882352941176,0.014705882352941176,5.445485600554374,0.0,0.0,Nairobi_and_Ad_Facebook
React,ROW,0-10,4.0,Cairo,Job Boards,LinkedIn_Jobs,129,6,0,0,0,2,5,0.046511627906976744,0.03875968992248062,0.24875777769194202,0.0,0.0,Cairo_and_LinkedIn_Jobs
React,ROW,0-10,4.0,Jaipur,Job Boards,LinkedIn_Jobs,113,2,1,1,1,2,5,0.017699115044247787,0.04424778761061947,0.24875777769194202,0.0,0.008849557522123894,Jaipur_and_LinkedIn_Jobs
React,ROW,0-10,6.0,Lahore,Job Boards,LinkedIn_Jobs,67,7,2,2,2,7,9,0.1044776119402985,0.13432835820895522,0.24875777769194202,0.0,0.029850746268656716,Lahore_and_LinkedIn_Jobs
React,ROW,0-10,7.0,Delhi,Job Boards,LinkedIn_Jobs,50,4,3,3,3,4,0,0.08,0.0,0.24875777769194202,0.0,0.06,Delhi_and_LinkedIn_Jobs
React,ROW,0-10,8.0,Jaipur,Job Boards,LinkedIn_Jobs,54,0,0,0,0,0,0,0.0,0.0,0.24875777769194204,0.0,0.0,Jaipur_and_LinkedIn_Jobs
React,ROW,11-20,0.0,Bengaluru,Job Boards,LinkedIn_Jobs,61,1,1,1,1,1,1,0.01639344262295082,0.01639344262295082,0.24875777769194202,10.0,0.01639344262295082,Bengaluru_and_LinkedIn_Jobs
React,ROW,11-20,2.0,Bengaluru,Job Boards,LinkedIn_Jobs,73,4,1,2,3,4,12,0.0547945205479452,0.1643835616438356,0.248757777691942,10.0,0.0410958904109589,Bengaluru_and_LinkedIn_Jobs
React,ROW,11-20,5.0,Bengaluru,Job Boards,LinkedIn_Jobs,81,12,0,1,2,12,7,0.14814814814814814,0.08641975308641975,0.24875777769194204,10.0,0.024691358024691357,Bengaluru_and_LinkedIn_Jobs
