skill_name,External_Sourcing,geo_group,city_ip,n_devs,n_devs_bi,n_accs,n_p2_devs,n_ntes,n_icfs,n_icfs_30,n_icfs_60,n_icfs_90,n_icfs_365,n_dcs,acc_days_median,p2_days_median,nte_days_median,icf_days_median,dc_days_median,hourly_rate_median,min_dev_skill_cost,max_dev_skill_cost,minCost_per_su,maxCost_per_su,su_to_icf_30_perc,su_to_icf_60_perc,su_to_icf_90_perc,su_to_icf_365_perc,rate_geo_median,city_tier,lat,lng
Flutter,N,LATAM,São Paulo,570,518,65,67,43,72,17,22,24,58,2,59.0,55.0,157.0,195.5,310.5,6.651259469709132,1745.4275209492519,2674.4595547703207,3.0621535455250033,4.692034306614597,0.02982456140350877,0.03859649122807018,0.042105263157894736,0.10175438596491228,3.9165104166493796,1,-23.5475,-46.63611
Flutter,N,LATAM,Medellín,208,189,21,23,8,19,5,6,7,16,0,39.0,42.0,43.0,137.0,,4.19318181818193,517.4203755081552,831.297510734887,2.487597959173823,3.99662264776388,0.02403846153846154,0.028846153846153848,0.03365384615384615,0.07692307692307693,3.9165104166493796,1,6.25184,-75.56359
Flutter,N,LATAM,Brasília,195,172,28,28,11,27,5,8,8,25,0,105.0,105.0,63.0,145.0,,5.7010795454363015,480.33842916235125,892.5822894349405,2.4632739957043652,4.577345074025336,0.02564102564102564,0.041025641025641026,0.041025641025641026,0.1282051282051282,3.9165104166493796,1,-15.77972,-47.92972
Flutter,N,LATAM,Rio de Janeiro,182,168,30,31,23,36,3,7,9,31,2,27.5,31.0,45.0,167.0,247.5,7.22136742427283,625.6587952192576,959.5696310497099,3.437685688017899,5.272360610163241,0.016483516483516484,0.038461538461538464,0.04945054945054945,0.17032967032967034,3.9165104166493796,1,-22.90642,-43.18223
Flutter,N,LATAM,Belo Horizonte,158,140,24,23,12,26,8,10,11,18,0,42.0,52.0,51.5,159.0,,5.130971590872604,307.6655233768525,531.737256204396,1.9472501479547626,3.3654256721797213,0.05063291139240506,0.06329113924050633,0.06962025316455696,0.11392405063291139,3.9165104166493796,1,-19.92083,-43.93778
Flutter,N,LATAM,Curitiba,158,148,19,19,10,20,6,7,8,18,1,21.0,28.0,42.0,155.5,244.0,5.7010795454363015,614.5499477677797,860.8379008508235,3.8895566314416437,5.4483411446254655,0.0379746835443038,0.04430379746835443,0.05063291139240506,0.11392405063291139,3.9165104166493796,1,-25.42778,-49.27306
Flutter,N,LATAM,Fortaleza,139,128,8,8,5,8,1,3,4,8,0,44.0,30.5,11.0,96.5,,4.513354640145433,305.73601008290046,539.0114270559105,2.199539640884176,3.877780050761946,0.007194244604316547,0.02158273381294964,0.02877697841726619,0.05755395683453238,3.9165104166493796,1,-3.71722,-38.54306
Flutter,N,LATAM,Quito,110,100,5,5,2,11,3,5,6,10,0,45.0,14.0,116.0,65.0,,5.208333333,386.659814607009,705.785294566871,3.515089223700082,6.416229950607918,0.02727272727272727,0.045454545454545456,0.05454545454545454,0.09090909090909091,3.9165104166493796,1,-0.22985,-78.52495
Flutter,N,LATAM,Goiânia,107,99,13,14,8,9,2,2,3,6,1,75.5,94.5,99.5,124.0,252.0,5.7010795454363015,298.65499982942515,446.1596549445973,2.791168222704908,4.169716401351377,0.018691588785046728,0.018691588785046728,0.028037383177570093,0.056074766355140186,3.9165104166493796,1,-16.67861,-49.25389
Flutter,N,LATAM,Guayaquil,100,91,12,14,6,13,3,6,7,11,0,23.5,23.5,41.5,82.0,,5.681818182,306.76045277045637,521.6991796013604,3.067604527704564,5.216991796013604,0.03,0.06,0.07,0.11,3.9165104166493796,1,-2.19616,-79.88621
Flutter,N,LATAM,Porto Alegre,93,84,17,17,10,18,4,4,5,18,1,88.0,88.0,144.0,144.0,98.0,8.076529356118376,371.5043743280893,533.2089717670889,3.9946706916998846,5.7334298039471925,0.043010752688172046,0.043010752688172046,0.053763440860215055,0.1935483870967742,3.9165104166493796,1,-30.03283,-51.23019
Flutter,N,LATAM,Campinas,91,81,12,13,9,13,1,1,1,8,0,77.0,7.0,52.0,285.0,,5.7010795454363015,225.0642350122737,363.2554611601147,2.4732333517832275,3.9918182545067546,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.08791208791208792,3.9165104166493796,1,-22.90556,-47.06083
Flutter,N,LATAM,Mexico City,85,76,5,6,3,5,1,1,1,5,0,31.0,33.0,41.0,96.0,,9.453645833350619,195.84138202867098,302.73547210883663,2.304016259160835,3.561593789515725,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.058823529411764705,3.9165104166493796,1,19.42847,-99.12766
Flutter,N,LATAM,Guatemala City,80,76,10,10,8,10,2,3,3,8,1,17.5,15.5,22.5,265.5,60.0,5.04807386367098,379.6528902670914,484.6161150437404,4.745661128338642,6.057701438046755,0.025,0.0375,0.0375,0.1,3.9165104166493796,1,14.64072,-90.51327
Flutter,N,LATAM,Santiago,80,66,11,11,6,10,3,3,4,8,0,43.0,43.0,127.5,186.5,,6.289772727272526,330.73585023112184,508.9565336829722,4.134198127889023,6.361956671037152,0.0375,0.0375,0.05,0.1,3.9165104166493796,1,-33.44889,-70.66927
Flutter,N,LATAM,Florianópolis,74,68,11,11,9,10,3,5,5,8,3,37.5,35.0,35.0,93.0,143.0,5.530047159127395,152.40363778906485,290.6951602247297,2.0595086187711464,3.928312976009861,0.04054054054054054,0.06756756756756757,0.06756756756756757,0.10810810810810811,3.9165104166493796,1,-27.59667,-48.54917
